Date,Product,Region,Amount
2026-08-28,Soy Candle,Europe,36.00
2026-08-28,Ceramic Mug,North America,24.00
2026-08-28,Ceramic Mug,UK,24.00
2026-08-28,Enamel Pin Pack,North America,10.80
2026-08-28,Soy Candle,Europe,18.00
2026-08-28,Leather Card Holder,North America,38.00
2026-08-29,Throw Blanket,Europe,68.00
2026-08-29,Enamel Pin Pack,North America,12.00
2026-08-29,Notebook Set,North America,15.00
2026-08-29,Desk Plant Pot,Europe,28.00
2026-08-29,Ceramic Mug,North America,24.00
2026-08-29,Throw Blanket,Asia Pacific,68.00
2026-08-29,Leather Card Holder,North America,38.00
2026-08-29,Soy Candle,North America,36.00
2026-08-29,Notebook Set,UK,30.00
2026-08-29,Desk Plant Pot,North America,28.00
2026-08-29,Notebook Set,North America,15.00
2026-08-29,Soy Candle,Europe,54.00
2026-08-29,Linen Tote Bag,UK,28.80
2026-08-29,Ceramic Mug,Asia Pacific,24.00
2026-08-29,Ceramic Mug,North America,24.00
2026-08-29,Notebook Set,Europe,30.00
2026-08-29,Linen Tote Bag,North America,32.00
2026-08-29,Soy Candle,North America,36.00
2026-08-30,Throw Blanket,North America,68.00
2026-08-30,Notebook Set,Europe,15.00
2026-08-30,Linen Tote Bag,Asia Pacific,32.00
2026-08-30,Soy Candle,North America,18.00
2026-08-30,Throw Blanket,North America,68.00
2026-08-30,Enamel Pin Pack,North America,12.00
2026-08-30,Ceramic Mug,North America,21.60
2026-08-30,Leather Card Holder,Europe,38.00
2026-08-30,Linen Tote Bag,Europe,32.00
2026-08-30,Enamel Pin Pack,Asia Pacific,12.00
2026-08-30,Throw Blanket,North America,68.00
2026-08-30,Soy Candle,Europe,16.20
2026-08-30,Notebook Set,Europe,15.00
2026-08-30,Ceramic Mug,UK,21.60
2026-08-30,Linen Tote Bag,Europe,28.80
2026-08-30,Soy Candle,North America,18.00
2026-08-30,Ceramic Mug,North America,24.00
2026-08-31,Leather Card Holder,North America,38.00
2026-08-31,Notebook Set,Europe,15.00
2026-08-31,Soy Candle,Europe,16.20
2026-08-31,Leather Card Holder,UK,38.00
2026-08-31,Linen Tote Bag,North America,32.00
2026-08-31,Desk Plant Pot,Asia Pacific,56.00
2026-08-31,Desk Plant Pot,Europe,50.40
2026-08-31,Enamel Pin Pack,North America,12.00
2026-08-31,Enamel Pin Pack,Europe,24.00
2026-08-31,Enamel Pin Pack,North America,12.00
2026-08-31,Linen Tote Bag,Europe,32.00
2026-08-31,Ceramic Mug,Asia Pacific,24.00
2026-08-31,Soy Candle,UK,18.00
2026-08-31,Desk Plant Pot,North America,25.20
2026-08-31,Soy Candle,Europe,18.00
2026-08-31,Notebook Set,Asia Pacific,13.50
2026-08-31,Linen Tote Bag,UK,32.00
2026-09-01,Notebook Set,Asia Pacific,15.00
2026-09-01,Ceramic Mug,North America,24.00
2026-09-01,Ceramic Mug,North America,24.00
2026-09-01,Desk Plant Pot,UK,25.20
2026-09-01,Linen Tote Bag,Europe,32.00
2026-09-01,Desk Plant Pot,North America,28.00
2026-09-01,Ceramic Mug,UK,24.00
2026-09-01,Soy Candle,North America,18.00
2026-09-01,Notebook Set,North America,15.00
2026-09-01,Soy Candle,North America,36.00
2026-09-01,Throw Blanket,UK,68.00
2026-09-01,Ceramic Mug,Asia Pacific,72.00
2026-09-01,Notebook Set,North America,30.00
2026-09-01,Leather Card Holder,UK,34.20
2026-09-01,Throw Blanket,Asia Pacific,68.00
2026-09-01,Enamel Pin Pack,North America,12.00
2026-09-02,Soy Candle,Europe,16.20
2026-09-02,Enamel Pin Pack,Europe,12.00
2026-09-02,Desk Plant Pot,UK,56.00
2026-09-02,Soy Candle,Europe,18.00
2026-09-02,Ceramic Mug,UK,24.00
2026-09-02,Enamel Pin Pack,Asia Pacific,24.00
2026-09-02,Ceramic Mug,Europe,43.20
2026-09-02,Enamel Pin Pack,North America,12.00
2026-09-02,Linen Tote Bag,North America,32.00
2026-09-02,Linen Tote Bag,Europe,32.00
2026-09-02,Ceramic Mug,Europe,24.00
2026-09-02,Soy Candle,UK,18.00
2026-09-02,Ceramic Mug,Europe,21.60
2026-09-02,Soy Candle,UK,36.00
2026-09-03,Ceramic Mug,Europe,24.00
2026-09-03,Soy Candle,Asia Pacific,54.00
2026-09-03,Leather Card Holder,North America,38.00
2026-09-03,Ceramic Mug,Asia Pacific,24.00
2026-09-03,Soy Candle,North America,18.00
2026-09-03,Throw Blanket,Asia Pacific,61.20
2026-09-03,Desk Plant Pot,North America,28.00
2026-09-03,Throw Blanket,UK,68.00
2026-09-03,Notebook Set,Europe,30.00
2026-09-03,Notebook Set,Europe,15.00
2026-09-03,Ceramic Mug,Asia Pacific,24.00
2026-09-03,Notebook Set,Asia Pacific,15.00
2026-09-03,Ceramic Mug,North America,48.00
2026-09-03,Enamel Pin Pack,North America,12.00
2026-09-03,Enamel Pin Pack,Asia Pacific,12.00
2026-09-03,Notebook Set,Europe,15.00
2026-09-04,Linen Tote Bag,North America,32.00
2026-09-04,Linen Tote Bag,North America,32.00
2026-09-04,Enamel Pin Pack,Europe,21.60
2026-09-04,Ceramic Mug,North America,24.00
2026-09-04,Notebook Set,North America,15.00
2026-09-04,Leather Card Holder,UK,38.00
2026-09-04,Soy Candle,Europe,18.00
2026-09-04,Soy Candle,North America,18.00
2026-09-04,Soy Candle,Europe,18.00
2026-09-04,Enamel Pin Pack,North America,24.00
2026-09-04,Soy Candle,UK,18.00
2026-09-04,Notebook Set,North America,30.00
2026-09-04,Linen Tote Bag,Asia Pacific,32.00
2026-09-04,Soy Candle,North America,18.00
2026-09-04,Ceramic Mug,North America,24.00
2026-09-04,Enamel Pin Pack,North America,12.00
2026-09-04,Ceramic Mug,Europe,24.00
2026-09-04,Linen Tote Bag,North America,32.00
2026-09-05,Desk Plant Pot,UK,25.20
2026-09-05,Linen Tote Bag,North America,28.80
2026-09-05,Ceramic Mug,North America,48.00
2026-09-05,Throw Blanket,North America,68.00
2026-09-05,Linen Tote Bag,North America,32.00
2026-09-05,Leather Card Holder,UK,38.00
2026-09-05,Throw Blanket,UK,68.00
2026-09-05,Linen Tote Bag,North America,32.00
2026-09-05,Notebook Set,North America,45.00
2026-09-05,Linen Tote Bag,Europe,32.00
2026-09-05,Ceramic Mug,North America,24.00
2026-09-05,Desk Plant Pot,Europe,56.00
2026-09-05,Soy Candle,Europe,18.00
2026-09-05,Linen Tote Bag,North America,32.00
2026-09-05,Ceramic Mug,UK,24.00
2026-09-05,Enamel Pin Pack,Europe,12.00
2026-09-05,Leather Card Holder,North America,38.00
2026-09-05,Notebook Set,North America,15.00
2026-09-06,Notebook Set,Asia Pacific,15.00
2026-09-06,Notebook Set,North America,15.00
2026-09-06,Leather Card Holder,UK,38.00
2026-09-06,Throw Blanket,North America,68.00
2026-09-06,Leather Card Holder,North America,38.00
2026-09-06,Soy Candle,Europe,16.20
2026-09-06,Desk Plant Pot,North America,28.00
2026-09-06,Notebook Set,UK,40.50
2026-09-06,Ceramic Mug,North America,21.60
2026-09-06,Soy Candle,Asia Pacific,18.00
2026-09-06,Soy Candle,North America,16.20
2026-09-06,Leather Card Holder,Asia Pacific,38.00
2026-09-06,Throw Blanket,Europe,68.00
2026-09-06,Linen Tote Bag,Europe,32.00
2026-09-06,Notebook Set,North America,15.00
2026-09-06,Desk Plant Pot,North America,28.00
2026-09-06,Soy Candle,Europe,36.00
2026-09-07,Ceramic Mug,Europe,72.00
2026-09-07,Soy Candle,North America,36.00
2026-09-07,Linen Tote Bag,UK,32.00
2026-09-07,Soy Candle,Asia Pacific,36.00
2026-09-07,Throw Blanket,North America,68.00
2026-09-07,Soy Candle,North America,18.00
2026-09-07,Ceramic Mug,North America,48.00
2026-09-07,Desk Plant Pot,North America,28.00
2026-09-07,Ceramic Mug,Europe,24.00
2026-09-07,Soy Candle,North America,32.40
2026-09-07,Desk Plant Pot,Europe,28.00
2026-09-07,Notebook Set,Asia Pacific,15.00
2026-09-07,Notebook Set,North America,15.00
2026-09-07,Desk Plant Pot,Asia Pacific,28.00
2026-09-07,Ceramic Mug,UK,24.00
2026-09-07,Linen Tote Bag,UK,32.00
2026-09-07,Soy Candle,North America,18.00
2026-09-07,Throw Blanket,Europe,68.00
2026-09-07,Ceramic Mug,North America,24.00
2026-09-07,Ceramic Mug,Europe,24.00
2026-09-07,Throw Blanket,UK,68.00
2026-09-07,Linen Tote Bag,Asia Pacific,32.00
2026-09-07,Linen Tote Bag,Europe,32.00
2026-09-08,Leather Card Holder,Asia Pacific,38.00
2026-09-08,Notebook Set,Asia Pacific,30.00
2026-09-08,Linen Tote Bag,North America,32.00
2026-09-08,Notebook Set,North America,45.00
2026-09-08,Soy Candle,Europe,18.00
2026-09-08,Enamel Pin Pack,UK,12.00
2026-09-08,Desk Plant Pot,UK,56.00
2026-09-08,Ceramic Mug,North America,24.00
2026-09-08,Leather Card Holder,UK,38.00
2026-09-08,Throw Blanket,Asia Pacific,68.00
2026-09-08,Ceramic Mug,Asia Pacific,24.00
2026-09-08,Throw Blanket,North America,68.00
2026-09-08,Soy Candle,UK,18.00
2026-09-08,Desk Plant Pot,North America,84.00
2026-09-08,Soy Candle,Europe,18.00
2026-09-08,Linen Tote Bag,Asia Pacific,32.00
2026-09-08,Enamel Pin Pack,North America,12.00
2026-09-08,Soy Candle,North America,48.60
2026-09-08,Ceramic Mug,Asia Pacific,24.00
2026-09-08,Throw Blanket,North America,68.00
2026-09-09,Ceramic Mug,North America,24.00
2026-09-09,Enamel Pin Pack,Europe,12.00
2026-09-09,Notebook Set,North America,30.00
2026-09-09,Enamel Pin Pack,North America,12.00
2026-09-09,Notebook Set,UK,15.00
2026-09-09,Enamel Pin Pack,Europe,12.00
2026-09-09,Throw Blanket,North America,68.00
2026-09-09,Ceramic Mug,Europe,24.00
2026-09-09,Soy Candle,North America,18.00
2026-09-09,Soy Candle,UK,16.20
2026-09-09,Linen Tote Bag,UK,32.00
2026-09-09,Notebook Set,Europe,15.00
2026-09-09,Desk Plant Pot,UK,28.00
2026-09-09,Throw Blanket,Europe,68.00
2026-09-09,Soy Candle,Europe,18.00
2026-09-09,Desk Plant Pot,Europe,28.00
2026-09-09,Soy Candle,North America,18.00
2026-09-10,Linen Tote Bag,North America,28.80
2026-09-10,Throw Blanket,Europe,68.00
2026-09-10,Leather Card Holder,Asia Pacific,38.00
2026-09-10,Throw Blanket,North America,68.00
2026-09-10,Ceramic Mug,Asia Pacific,24.00
2026-09-10,Throw Blanket,Europe,68.00
2026-09-10,Notebook Set,North America,15.00
2026-09-10,Throw Blanket,Asia Pacific,61.20
2026-09-10,Notebook Set,Asia Pacific,13.50
2026-09-10,Leather Card Holder,Europe,38.00
2026-09-10,Throw Blanket,Europe,68.00
2026-09-10,Desk Plant Pot,Europe,28.00
2026-09-10,Enamel Pin Pack,UK,36.00
2026-09-10,Throw Blanket,North America,68.00
2026-09-10,Notebook Set,North America,27.00
2026-09-10,Ceramic Mug,Europe,48.00
2026-09-10,Throw Blanket,North America,68.00
2026-09-10,Enamel Pin Pack,Europe,12.00
2026-09-10,Soy Candle,Europe,16.20
2026-09-10,Ceramic Mug,UK,24.00
2026-09-10,Notebook Set,North America,15.00
2026-09-10,Soy Candle,North America,18.00
2026-09-11,Soy Candle,Asia Pacific,18.00
2026-09-11,Notebook Set,North America,15.00
2026-09-11,Soy Candle,North America,18.00
2026-09-11,Desk Plant Pot,North America,84.00
2026-09-11,Ceramic Mug,North America,24.00
2026-09-11,Desk Plant Pot,North America,28.00
2026-09-11,Throw Blanket,Asia Pacific,68.00
2026-09-11,Ceramic Mug,North America,72.00
2026-09-11,Desk Plant Pot,North America,28.00
2026-09-11,Throw Blanket,UK,61.20
2026-09-11,Soy Candle,North America,18.00
2026-09-11,Soy Candle,Europe,18.00
2026-09-11,Enamel Pin Pack,North America,10.80
2026-09-11,Throw Blanket,Europe,68.00
2026-09-11,Linen Tote Bag,North America,32.00
2026-09-11,Notebook Set,Europe,13.50
2026-09-11,Ceramic Mug,UK,24.00
2026-09-11,Desk Plant Pot,North America,28.00
2026-09-11,Ceramic Mug,UK,48.00
2026-09-11,Ceramic Mug,Europe,21.60
2026-09-11,Soy Candle,Europe,54.00
2026-09-11,Throw Blanket,UK,68.00
2026-09-11,Soy Candle,UK,18.00
2026-09-11,Soy Candle,North America,36.00
2026-09-12,Throw Blanket,Asia Pacific,68.00
2026-09-12,Soy Candle,North America,18.00
2026-09-12,Linen Tote Bag,Europe,32.00
2026-09-12,Notebook Set,North America,15.00
2026-09-12,Throw Blanket,UK,68.00
2026-09-12,Soy Candle,UK,18.00
2026-09-12,Ceramic Mug,North America,24.00
2026-09-12,Soy Candle,Europe,18.00
2026-09-12,Notebook Set,North America,15.00
2026-09-12,Throw Blanket,Europe,68.00
2026-09-12,Notebook Set,Asia Pacific,13.50
2026-09-12,Linen Tote Bag,North America,32.00
2026-09-12,Leather Card Holder,Europe,38.00
2026-09-12,Linen Tote Bag,North America,32.00
2026-09-12,Throw Blanket,North America,68.00
2026-09-12,Leather Card Holder,Asia Pacific,38.00
2026-09-12,Desk Plant Pot,Europe,28.00
2026-09-12,Linen Tote Bag,Europe,32.00
2026-09-12,Desk Plant Pot,North America,28.00
2026-09-12,Soy Candle,UK,18.00
2026-09-12,Throw Blanket,Europe,68.00
2026-09-12,Soy Candle,North America,18.00
2026-09-12,Ceramic Mug,North America,24.00
2026-09-12,Soy Candle,North America,18.00
2026-09-12,Soy Candle,North America,18.00
2026-09-12,Linen Tote Bag,Asia Pacific,28.80
2026-09-12,Notebook Set,UK,15.00
2026-09-12,Leather Card Holder,Europe,34.20
2026-09-12,Linen Tote Bag,North America,32.00
2026-09-13,Throw Blanket,North America,61.20
2026-09-13,Notebook Set,UK,15.00
2026-09-13,Leather Card Holder,North America,38.00
2026-09-13,Soy Candle,North America,16.20
2026-09-13,Linen Tote Bag,North America,32.00
2026-09-13,Notebook Set,Europe,15.00
2026-09-13,Soy Candle,Europe,18.00
2026-09-13,Soy Candle,Europe,16.20
2026-09-13,Ceramic Mug,Asia Pacific,43.20
2026-09-13,Leather Card Holder,North America,38.00
2026-09-13,Enamel Pin Pack,Europe,12.00
2026-09-13,Leather Card Holder,Asia Pacific,38.00
2026-09-13,Linen Tote Bag,Europe,32.00
2026-09-13,Notebook Set,North America,40.50
2026-09-13,Soy Candle,North America,54.00
2026-09-13,Leather Card Holder,UK,38.00
2026-09-13,Enamel Pin Pack,Europe,12.00
2026-09-13,Soy Candle,Asia Pacific,36.00
2026-09-13,Ceramic Mug,UK,72.00
2026-09-13,Soy Candle,UK,18.00
2026-09-13,Soy Candle,North America,18.00
2026-09-13,Soy Candle,North America,18.00
2026-09-13,Throw Blanket,North America,68.00
2026-09-13,Soy Candle,Europe,18.00
2026-09-13,Throw Blanket,North America,68.00
2026-09-13,Notebook Set,UK,15.00
2026-09-13,Linen Tote Bag,North America,32.00
2026-09-13,Leather Card Holder,UK,34.20
